City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
171,Castro,BR,61.47,-24.7911,-50.0119,
172,Sayat,TM,84.07,38.7839,63.8803,
175,Kloulklubed,PW,75.7,7.0419,134.2556,
176,Maudaha,IN,92.7,25.6833,80.1167,
178,Souillac,MU,72.36,-20.5167,57.5167,
179,Lorengau,PG,83.37,-2.0226,147.2712,
180,Katsuura,JP,75.22,35.1333,140.3,
181,Pangai,TO,77.94,-19.8,-174.35,
182,Nayoro,JP,60.28,44.3506,142.4578,
183,Laguna,US,94.91,38.421,-121.4238,
185,Arona,ES,61.83,28.0996,-16.681,
186,Sur,OM,83.75,22.5667,59.5289,
187,Arraial Do Cabo,BR,73.58,-22.9661,-42.0278,
189,Jagdalpur,IN,77.05,19.0667,82.0333,
190,Colares,PT,62.1,38.7992,-9.4469,
191,Alofi,NU,78.69,-19.0595,-169.9187,
192,Lagoa,PT,63.68,39.05,-27.9833,
193,Watertown,US,87.08,42.3709,-71.1828,
194,Naifaru,MV,82.62,5.4444,73.3657,
196,Durham,US,80.92,36.0335,-78.8664,
198,Fortuna,US,71.47,40.5982,-124.1573,
201,Svetlyy Yar,RU,60.4,48.4748,44.781,
202,Kiunga,PG,76.08,-6.1219,141.2906,
203,Mayo,US,87.96,38.8876,-76.5119,
205,Marzuq,YE,81.34,14.4,46.4667,
208,Victoria,HK,82.45,22.2855,114.1577,
209,Kieta,PG,83.7,-6.2167,155.6333,
210,Seoul,KR,75.61,37.5683,126.9778,
211,Road Town,VG,80.69,18.4167,-64.6167,
212,Danjiangkou,CN,83.23,32.5428,111.5086,
213,Buala,SB,84.67,-8.145,159.5921,
214,Bandarbeyla,SO,78.69,9.4942,50.8122,
216,Kaabong,UG,64.47,3.4836,34.1492,
217,Hilo,US,84.27,19.7297,-155.09,
219,Parrita,CR,84.52,9.5201,-84.3225,
220,Bozdar,PK,86.79,27.1828,68.636,
222,Quatre Cocos,MU,72.09,-20.2078,57.7625,
223,Bannu,PK,92.26,32.9854,70.6027,
224,Lewiston,US,84.83,44.1003,-70.2148,
225,Saint Anthony,US,91.72,45.0205,-93.218,
