City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Isabela,PH,2021-06-07 00:11:27,6.7085,121.9711,84.25,71,92,1.05
100,Cabo San Lucas,MX,2021-06-07 00:07:29,22.8909,-109.9124,99.52,37,1,5.75
101,Dryden,CA,2021-06-07 00:11:28,49.7833,-92.7503,69.37,63,77,9.28
102,Bengkulu,ID,2021-06-07 00:04:27,-3.8004,102.2655,74.23,88,23,4.36
103,Arlit,NE,2021-06-07 00:03:56,18.7369,7.3853,91.35,14,48,9.86
104,Ruse,BG,2021-06-07 00:11:28,43.8564,25.9708,62.35,88,15,4.56
105,Avera,US,2021-06-07 00:11:29,33.194,-82.5271,77.05,93,100,10.78
106,Namatanai,PG,2021-06-07 00:02:50,-3.6667,152.4333,82.51,75,95,2.39
107,Itaquyry,PY,2021-06-07 00:11:29,-24.9333,-55.2167,62.82,97,42,3.22
108,Normandin,CA,2021-06-07 00:11:30,48.8333,-72.5321,68.54,77,66,4.03
109,Leh,IN,2021-06-07 00:10:47,34.1667,77.5833,47.64,32,0,6.35
110,Ahja,EE,2021-06-07 00:11:30,58.2091,27.0734,59.25,80,24,4.65
111,Kruisfontein,ZA,2021-06-07 00:11:31,-34.0033,24.7314,55.62,24,2,8.05
112,Acari,PE,2021-06-07 00:11:31,-15.4311,-74.6158,66.58,75,14,3.13
113,Praia Da Vitoria,PT,2021-06-07 00:07:53,38.7333,-27.0667,64.76,93,99,4.59
114,Dicabisagan,PH,2021-06-07 00:11:31,17.0818,122.4157,83.39,77,99,3.89
115,Tupik,RU,2021-06-07 00:11:32,54.4253,119.9327,70.7,44,5,7.34
116,Grindavik,IS,2021-06-07 00:01:41,63.8424,-22.4338,46.87,100,90,15.12
117,Chokurdakh,RU,2021-06-07 00:11:32,70.6333,147.9167,39.92,65,98,6.17
118,Bluff,NZ,2021-06-07 00:11:35,-46.6,168.3333,49.8,76,54,7.54
119,Sioux Lookout,CA,2021-06-07 00:03:42,50.1001,-91.917,68.7,68,86,12.71
120,Thompson,CA,2021-06-07 00:11:35,55.7435,-97.8558,59.68,78,100,6.69
