City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Cartagena,CO,2021-06-06 18:29:49,10.3997,-75.5144,89.22,70,75,11.5
117,Aasiaat,GL,2021-06-06 18:31:11,68.7098,-52.8699,36.25,88,69,3.29
118,Cookeville,US,2021-06-06 18:27:48,36.1628,-85.5016,75.2,94,75,4.61
119,Dicabisagan,PH,2021-06-06 18:31:12,17.0818,122.4157,80.06,88,100,5.68
120,Ambanja,MG,2021-06-06 18:31:12,-13.6833,48.45,72.43,91,69,2.04
121,Saint George,US,2021-06-06 18:28:57,37.1041,-113.5841,100.87,12,1,7.0
122,Galle,LK,2021-06-06 18:31:13,6.0367,80.217,80.69,83,100,11.5
123,Ariquemes,BR,2021-06-06 18:31:13,-9.9133,-63.0408,90.48,49,100,2.08
124,Kostomuksha,RU,2021-06-06 18:31:14,64.571,30.5767,55.36,56,100,8.63
125,Tuktoyaktuk,CA,2021-06-06 18:28:14,69.4541,-133.0374,32.0,74,90,8.05
126,Sao Filipe,CV,2021-06-06 18:31:14,14.8961,-24.4956,75.87,66,46,8.52
127,Fortuna,US,2021-06-06 18:30:25,40.5982,-124.1573,67.42,62,40,5.99
128,Uberaba,BR,2021-06-06 18:31:15,-19.7483,-47.9319,81.18,36,75,3.44
129,Halifax,CA,2021-06-06 18:29:30,44.6453,-63.5724,78.69,48,51,5.75
130,Maceio,BR,2021-06-06 18:31:15,-9.6658,-35.7353,83.64,61,20,9.6
131,Aljezur,PT,2021-06-06 18:31:16,37.3191,-8.8033,66.29,69,0,10.98
132,Eregli,TR,2021-06-06 18:31:16,37.5133,34.0467,56.82,42,0,2.91
133,Waycross,US,2021-06-06 18:31:17,31.2136,-82.354,91.98,61,40,6.91
134,Langsa,ID,2021-06-06 18:31:17,4.4683,97.9683,74.26,96,100,2.04
135,Moanda,GA,2021-06-06 18:31:18,-1.5575,13.2178,77.23,78,99,0.49
136,Tabou,CI,2021-06-06 18:31:18,4.423,-7.3528,77.88,88,100,9.48
137,Pisco,PE,2021-06-06 18:31:18,-13.7,-76.2167,66.0,82,90,5.75
138,Cidreira,BR,2021-06-06 18:29:17,-30.1811,-50.2056,63.37,82,100,8.46
139,Qaanaaq,GL,2021-06-06 18:31:19,77.484,-69.3632,40.24,85,51,5.41
140,Necochea,AR,2021-06-06 18:31:19,-38.5473,-58.7368,56.03,48,100,2.62
141,San Cristobal,VE,2021-06-06 18:31:20,7.7669,-72.225,82.4,61,75,19.57
142,Port Hardy,CA,2021-06-06 18:31:21,50.6996,-127.4199,51.8,87,90,10.36
143,Olafsvik,IS,2021-06-06 18:31:21,64.8945,-23.7142,47.62,86,100,1.63
144,Port Augusta,AU,2021-06-06 18:31:21,-32.5,137.7667,57.2,72,10,13.8
145,Mantua,IT,2021-06-06 18:31:22,45.1667,10.7833,69.73,88,100,1.01
146,Berlevag,NO,2021-06-06 18:30:11,70.8578,29.0864,40.8,71,6,4.32
147,Esperance,AU,2021-06-06 18:31:22,-33.8667,121.9,51.8,100,75,17.27
148,Port Alfred,ZA,2021-06-06 18:28:26,-33.5906,26.891,65.19,41,0,9.51
149,Inverell,AU,2021-06-06 18:31:23,-29.7833,151.1167,44.17,68,0,3.8
150,Fredericton,CA,2021-06-06 18:31:23,45.9454,-66.6656,78.01,60,90,5.75
151,Xichang,CN,2021-06-06 18:31:24,27.8964,102.2634,66.15,93,92,0.6
152,Point Fortin,TT,2021-06-06 18:31:24,10.1833,-61.6833,88.9,70,69,11.83
153,Katobu,ID,2021-06-06 18:31:24,-4.9408,122.5276,74.62,89,19,4.38
154,Ketchikan,US,2021-06-06 18:31:25,55.3422,-131.6461,50.47,87,90,12.66
155,Alice Springs,AU,2021-06-06 18:31:19,-23.7,133.8833,36.95,75,26,2.19
156,Podgornoye,RU,2021-06-06 18:31:25,51.735,39.1496,59.0,94,40,4.47
157,Vardo,NO,2021-06-06 18:31:26,70.3705,31.1107,44.8,65,40,12.66
158,Husavik,IS,2021-06-06 18:30:18,66.0449,-17.3389,58.91,60,96,11.65
159,Hambantota,LK,2021-06-06 18:31:27,6.1241,81.1185,78.8,100,0,4.61
160,Berdigestyakh,RU,2021-06-06 18:31:27,62.0989,126.6992,48.83,80,100,6.04
161,Zhigansk,RU,2021-06-06 18:29:55,66.7697,123.3711,46.35,50,55,7.7
162,Marsabit,KE,2021-06-06 18:31:28,2.3284,37.9899,73.09,40,21,18.1
163,Cedeno,CO,2021-06-06 18:31:28,7.0464,-72.1634,72.1,99,100,0.2
164,Torbay,CA,2021-06-06 18:28:53,47.6666,-52.7314,46.0,93,90,17.27
